"region","season","year.new","H1_cum_intensity","IVB_cum_intensity","prior_dom_type_national","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","usa_bhatt_ep_mean","usa_wolf_ep_mean","NA_bhatt_ep_lag1","NA_bhatt_nonepitope_lag1","HA_koel_lag2","HA_titer_tree_lag2","HA_wolf_lag2","HA_wolf_nonepitope_lag2","HA_std_lbi","NA_std_lbi","vac_combined","vac_combined_prior","vac_cov_combined_prior","weighted_VE","weighted_VE_prior_season","h3_dom","pred","model","dataType","object","resid"
"Region 1","2006-2007","2006",9.76711137276225,3.38976785515049,1,24.9357096156186,1.20167467726347,5.78279251671982,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.481888309992018,0.40766997422748,"Lasso","Training","lasso",0.0742183357645381
"Region 2","2006-2007","2006",14.2138719061838,9.6482134543991,1,24.5554510417201,2.4704025197911,3.81585505488177,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.391535930087665,0.312049886914386,"Conditional
Random Forest","Training","party RF",0.0794860431732789
"Region 2","2006-2007","2006",14.2138719061838,9.6482134543991,1,24.5554510417201,2.4704025197911,3.81585505488177,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.391535930087665,0.40766997422748,"Lasso","Training","lasso",-0.0161340441398153
"Region 3","2006-2007","2006",19.6348737998989,13.3724587328075,1,34.0544009616779,1.28869587213273,7.4598517091286,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.226861612005532,0.298758731148489,"Conditional
Random Forest","Training","party RF",-0.0718971191429565
"Region 3","2006-2007","2006",19.6348737998989,13.3724587328075,1,34.0544009616779,1.28869587213273,7.4598517091286,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.226861612005532,0.40766997422748,"Lasso","Training","lasso",-0.180808362221948
"Region 4","2006-2007","2006",26.7658885954599,6.29302006139312,1,23.117835963525,0.128883639725577,6.75468364487334,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.173023300566523,0.320109656894743,"Conditional
Random Forest","Training","party RF",-0.14708635632822
"Region 4","2006-2007","2006",26.7658885954599,6.29302006139312,1,23.117835963525,0.128883639725577,6.75468364487334,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.173023300566523,0.40766997422748,"Lasso","Training","lasso",-0.234646673660957
"Region 5","2006-2007","2006",18.8093071755275,11.0485292780664,1,27.491403539516,6.58394639922138,5.19060310040287,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.15889467875562,0.314857058213762,"Conditional
Random Forest","Training","party RF",-0.155962379458142
"Region 5","2006-2007","2006",18.8093071755275,11.0485292780664,1,27.491403539516,6.58394639922138,5.19060310040287,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.15889467875562,0.40766997422748,"Lasso","Training","lasso",-0.248775295471861
"Region 6","2006-2007","2006",46.2802402387017,35.9109475704781,1,35.5323481193104,0.536997399628973,3.83859599243543,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.0157168929361448,0.300734372253415,"Conditional
Random Forest","Training","party RF",-0.28501747931727
