"region","H3_max_Rt","season","year.new","HA_titer_tree_lag2","HA_wolf_lag2","NA_bhatt_ep_lag1","ha_lbi_shannon","na_lbi_shannon","ha_lbi_shannon_lag1","na_lbi_shannon_lag1","prior_dom_type_national","H1_cum_intensity","IVB_cum_intensity","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","vac_combined","vac_cov_combined","weighted_VE","vac_combined_prior","vac_cov_combined_prior","weighted_VE_prior_season","usa_bhatt_ep_mean","usa_wolf_ep_mean","pred","model","dataType","object","resid"
"Region 10",1.12299851330219,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",6.12652029433851,11.1019052684108,26.3287279345929,19.718747009505,2.9646393530287,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.24921726649256,"Lasso","Training","lasso",-0.126218753190372
"Region 2",1.09301477849982,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",3.74369387722438,2.71211697565847,36.5807070550482,9.32735874140526,10.123465299842,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.16698224046376,"Conditional
Random Forest","Training","party RF",-0.0739674619639363
"Region 2",1.09301477849982,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",3.74369387722438,2.71211697565847,36.5807070550482,9.32735874140526,10.123465299842,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.20372104972355,"Lasso","Training","lasso",-0.110706271223734
"Region 3",1.23426375818246,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",1.88369547537797,3.65656165170969,31.0970636078803,26.1155770747689,8.64281908467344,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.19065628088032,"Conditional
Random Forest","Training","party RF",0.0436074773021367
"Region 3",1.23426375818246,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",1.88369547537797,3.65656165170969,31.0970636078803,26.1155770747689,8.64281908467344,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.22362441073596,"Lasso","Training","lasso",0.0106393474465027
"Region 4",1.09647344226719,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",4.23603111650543,3.00145273570061,20.5214737311688,19.8638446132952,24.8454271895897,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.17676010944206,"Conditional
Random Forest","Training","party RF",-0.0802866671748701
"Region 4",1.09647344226719,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",4.23603111650543,3.00145273570061,20.5214737311688,19.8638446132952,24.8454271895897,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.22920741799036,"Lasso","Training","lasso",-0.132733975723168
"Region 5",1.25641334095304,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",2.22576191663375,4.26420483625597,24.2060761310037,18.731872588009,14.2104070560512,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.19800849095107,"Conditional
Random Forest","Training","party RF",0.0584048500019723
"Region 5",1.25641334095304,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",2.22576191663375,4.26420483625597,24.2060761310037,18.731872588009,14.2104070560512,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.23625015597308,"Lasso","Training","lasso",0.0201631849799673
"Region 6",1.06749863022571,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",7.99789207029373,1.63586056284344,26.0843700096635,7.23052147381098,18.2654989509058,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.16188158990445,"Conditional
Random Forest","Training","party RF",-0.0943829596787491
"Region 6",1.06749863022571,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",7.99789207029373,1.63586056284344,26.0843700096635,7.23052147381098,18.2654989509058,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.20033939827765,"Lasso","Training","lasso",-0.13284076805194
"Region 7",1.45684883997921,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",3.36615006046503,0.906467508460288,20.2232002959463,15.186568108672,16.1475590951616,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.19803169947152,"Conditional
Random Forest","Training","party RF",0.258817140507693
"Region 7",1.45684883997921,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",3.36615006046503,0.906467508460288,20.2232002959463,15.186568108672,16.1475590951616,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.22347636505567,"Lasso","Training","lasso",0.233372474923542
"Region 8",1.14839671492986,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",10.6865019515558,0.949887371236896,19.2432137167255,8.75804730036654,12.2411247468654,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.16194774169882,"Conditional
Random Forest","Training","party RF",-0.013551026768956
"Region 8",1.14839671492986,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",10.6865019515558,0.949887371236896,19.2432137167255,8.75804730036654,12.2411247468654,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.19851218763475,"Lasso","Training","lasso",-0.0501154727048869
"Region 9",1.0966770644167,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",13.1284831570875,6.01675290308361,31.2303381831954,23.3795221696909,17.3695554696534,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.14520335225714,"Conditional
Random Forest","Training","party RF",-0.0485262878404336
"Region 9",1.0966770644167,"2011-2012",2011,0.9,6.42,4.314,0.755994601703922,0.730937596515146,0.790953917484124,0.744322373840108,"co-circ",13.1284831570875,6.01675290308361,31.2303381831954,23.3795221696909,17.3695554696534,7.34005277907861,0.191646,38.3000572883264,9.4220384672096,0.185152,50.8881268752679,5.45128205128205,7.91690544412607,1.19290696129149,"Lasso","Training","lasso",-0.0962298968747841
"Region 1",1.69780667432209,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.27204597909735,12.7573546108473,7.32263279334917,1.86084251006459,2.06416830461979,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.37002249637443,"Conditional
Random Forest","Training","party RF",0.327784177947658
"Region 1",1.69780667432209,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.27204597909735,12.7573546108473,7.32263279334917,1.86084251006459,2.06416830461979,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.29220035769949,"Lasso","Training","lasso",0.405606316622596
"Region 10",1.19160329568756,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",1.15300512302561,8.76007971689127,12.9262771570158,6.12652029433851,11.1019052684108,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.32807459441806,"Conditional
Random Forest","Training","party RF",-0.136471298730495
"Region 10",1.19160329568756,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",1.15300512302561,8.76007971689127,12.9262771570158,6.12652029433851,11.1019052684108,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.26930079677082,"Lasso","Training","lasso",-0.0776975010832557
"Region 2",1.41209319823184,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",4.02034050124337,17.5010075727538,5.67612261694319,3.74369387722438,2.71211697565847,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.36480549231037,"Conditional
Random Forest","Training","party RF",0.0472877059214731
"Region 2",1.41209319823184,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",4.02034050124337,17.5010075727538,5.67612261694319,3.74369387722438,2.71211697565847,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.30974330011023,"Lasso","Training","lasso",0.102349898121606
"Region 3",1.59688802070544,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.67377291197863,25.9931402090791,10.0357941700979,1.88369547537797,3.65656165170969,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.37545153905373,"Conditional
Random Forest","Training","party RF",0.221436481651714
"Region 3",1.59688802070544,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.67377291197863,25.9931402090791,10.0357941700979,1.88369547537797,3.65656165170969,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.34567811332392,"Lasso","Training","lasso",0.251209907381524
"Region 4",1.34495367332163,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.6868434451493,18.3635740181677,10.526300535685,4.23603111650543,3.00145273570061,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.3695095301373,"Conditional
Random Forest","Training","party RF",-0.024555856815665
"Region 4",1.34495367332163,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.6868434451493,18.3635740181677,10.526300535685,4.23603111650543,3.00145273570061,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.31063323246679,"Lasso","Training","lasso",0.0343204408548452
"Region 5",1.50117400586019,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.27528880950849,22.8513230383196,30.1671402690067,2.22576191663375,4.26420483625597,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.36278235838902,"Conditional
Random Forest","Training","party RF",0.138391647471172
"Region 5",1.50117400586019,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.27528880950849,22.8513230383196,30.1671402690067,2.22576191663375,4.26420483625597,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.30047143765639,"Lasso","Training","lasso",0.200702568203803
"Region 6",1.32897523419645,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",1.20261666714323,24.195574026558,4.77952863234261,7.99789207029373,1.63586056284344,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.36878518923317,"Conditional
Random Forest","Training","party RF",-0.0398099550367161
"Region 6",1.32897523419645,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",1.20261666714323,24.195574026558,4.77952863234261,7.99789207029373,1.63586056284344,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.35150045334328,"Lasso","Training","lasso",-0.0225252191468339
"Region 7",1.26181218850219,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",1.2198128635276,24.4055766233682,30.5089459509389,3.36615006046503,0.906467508460288,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.36006165598229,"Conditional
Random Forest","Training","party RF",-0.0982494674801013
"Region 7",1.26181218850219,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",1.2198128635276,24.4055766233682,30.5089459509389,3.36615006046503,0.906467508460288,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.31074218123432,"Lasso","Training","lasso",-0.0489299927321321
"Region 8",1.41218893839831,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.92149024259206,23.7002633224382,16.1616049867638,10.6865019515558,0.949887371236896,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.36414403717345,"Conditional
Random Forest","Training","party RF",0.0480449012248609
"Region 8",1.41218893839831,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.92149024259206,23.7002633224382,16.1616049867638,10.6865019515558,0.949887371236896,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.32458095811152,"Lasso","Training","lasso",0.0876079802867946
"Region 9",1.2911855256907,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.90699546824225,21.2558363556765,27.7542060529971,13.1284831570875,6.01675290308361,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.35064328544133,"Conditional
Random Forest","Training","party RF",-0.0594577597506303
"Region 9",1.2911855256907,"2012-2013",2012,0.99,8.924,3.31,0.815142548513931,0.741560557107973,0.755994601703922,0.730937596515146,"H3",2.90699546824225,21.2558363556765,27.7542060529971,13.1284831570875,6.01675290308361,9.01087071321696,0.21838,41.2623441396509,7.34005277907861,0.191646,38.3000572883264,3.13592233009709,5.99013806706114,1.29491569989432,"Lasso","Training","lasso",-0.00373017420361954
"Region 1",1.14724240168939,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",30.9744618819511,8.84574484531255,54.7079279643413,2.27204597909735,12.7573546108473,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08988376257023,"Conditional
Random Forest","Training","party RF",0.0573586391191605
"Region 1",1.14724240168939,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",30.9744618819511,8.84574484531255,54.7079279643413,2.27204597909735,12.7573546108473,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08547315721575,"Lasso","Training","lasso",0.0617692444736413
"Region 10",1.07771386120277,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",38.8188158070585,1.79193021698921,43.3928656174822,1.15300512302561,8.76007971689127,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08829395430478,"Conditional
Random Forest","Training","party RF",-0.010580093102011
"Region 10",1.07771386120277,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",38.8188158070585,1.79193021698921,43.3928656174822,1.15300512302561,8.76007971689127,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.04350247621316,"Lasso","Training","lasso",0.0342113849896115
"Region 2",1.09733182172343,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",25.881851188829,13.4411484014268,41.7573631462831,4.02034050124337,17.5010075727538,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.10799533020069,"Conditional
Random Forest","Training","party RF",-0.0106635084772553
"Region 2",1.09733182172343,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",25.881851188829,13.4411484014268,41.7573631462831,4.02034050124337,17.5010075727538,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.14563745416038,"Lasso","Training","lasso",-0.0483056324369453
"Region 3",1.04591424268217,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",40.1693671955642,6.00069770602021,68.2771361383979,2.67377291197863,25.9931402090791,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08503880772661,"Conditional
Random Forest","Training","party RF",-0.0391245650444472
"Region 3",1.04591424268217,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",40.1693671955642,6.00069770602021,68.2771361383979,2.67377291197863,25.9931402090791,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.01716696668874,"Lasso","Training","lasso",0.0287472759934271
"Region 4",1.01299138093521,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",29.1480877874304,5.16478259493853,43.9640529673393,2.6868434451493,18.3635740181677,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08360249996583,"Conditional
Random Forest","Training","party RF",-0.070611119030616
"Region 4",1.01299138093521,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",29.1480877874304,5.16478259493853,43.9640529673393,2.6868434451493,18.3635740181677,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.09303038645909,"Lasso","Training","lasso",-0.08003900552388
"Region 5",0.993195281752429,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",38.3529373547938,3.89462967053348,67.0482353405465,2.27528880950849,22.8513230383196,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08481535288402,"Conditional
Random Forest","Training","party RF",-0.091620071131587
"Region 5",0.993195281752429,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",38.3529373547938,3.89462967053348,67.0482353405465,2.27528880950849,22.8513230383196,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.01635041623222,"Lasso","Training","lasso",-0.0231551344797888
"Region 6",0.946911148290298,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",39.9352538013246,7.16957510886716,31.1640716754569,1.20261666714323,24.195574026558,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08967214082397,"Conditional
Random Forest","Training","party RF",-0.142760992533673
"Region 6",0.946911148290298,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",39.9352538013246,7.16957510886716,31.1640716754569,1.20261666714323,24.195574026558,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08332096315002,"Lasso","Training","lasso",-0.136409814859717
"Region 7",1.05352371140447,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",29.3796496348919,0.679495012956223,53.8319983742763,1.2198128635276,24.4055766233682,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08800972652096,"Conditional
Random Forest","Training","party RF",-0.0344860151164867
"Region 7",1.05352371140447,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",29.3796496348919,0.679495012956223,53.8319983742763,1.2198128635276,24.4055766233682,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.05610792618929,"Lasso","Training","lasso",-0.00258421478481918
"Region 8",0.956742809861088,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",34.019916273805,2.32142335219154,37.827819619411,2.92149024259206,23.7002633224382,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08586521066397,"Conditional
Random Forest","Training","party RF",-0.129122400802883
"Region 8",0.956742809861088,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",34.019916273805,2.32142335219154,37.827819619411,2.92149024259206,23.7002633224382,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.07241453258654,"Lasso","Training","lasso",-0.115671722725455
"Region 9",1.05157025694672,"2013-2014",2013,1.134,7.676,3.76,0.740629262418528,0.707676200506794,0.815142548513931,0.741560557107973,"H3",39.7681336802949,8.07691788043845,50.691803629248,2.90699546824225,21.2558363556765,7.1398077943761,0.223795,31.9033391915642,9.01087071321696,0.21838,41.2623441396509,3.58673469387755,8.49275362318841,1.08534337472999,"Conditional
Random Forest","Training","party RF",-0.0337731177832727
