"season","region","H3_shannon_entropy_res","h3_vs_h1","iva_vs_ivb","h3_vs_total_flu","h1_vs_total_flu","ivb_vs_iva","H3_cum_intensity","H1_cum_intensity","IVB_cum_intensity","H3_max_Rt","season_start","H3_max_intensity","H1_max_intensity","IVB_max_intensity","dom_type","prior_dom_type_national","H3_season_duration","peak_diff","peak_diff_bayes","peak_diff_median","peak_diff_median_bayes","H3_onset_index_week","H3_onset_index_week_bayes","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","H3_onset_week","H3_onset_week_bayes","H3_peak_week","adult_18_49_vac_cov","adult_65_vac_cov","weighted_VE_prior_season","weighted_VE","year.new","HA_std_lbi","NA_std_lbi","usa_bhatt_ep_mean","usa_wolf_ep_mean","HA_koel_lag1","HA_stem_ep_lag1","HA_titer_tree_lag1","HA_wolf_lag1","HA_wolf_nonepitope_lag1","NA_bhatt_ep_lag1","NA_bhatt_nonepitope_lag1","NA_krammer_ep_lag1","HA_koel_lag2","HA_stem_ep_lag2","HA_titer_tree_lag2","HA_wolf_lag2","HA_wolf_nonepitope_lag2","NA_bhatt_ep_lag2","NA_bhatt_nonepitope_lag2","NA_krammer_ep_lag2","ha_lbi_shannon","na_lbi_shannon","total_b","total_a","total_h3","total_h1","total_specimens","total_flu","onset_days_from_Oct1","peak_days_from_Oct1","onset_days_from_Oct1_bayes","onset_timing_sd","peak_timing_sd","onset_timing_sd_bayes","onset_timing_mad_bayes","iqr_onset_bayes","onset_median_bayes","pred","model","dataType","object","resid"
"2008-2009","Region 7",0.683002820836151,0.0624540582677828,0.777005099675475,0.0485271217694965,0.723841909292163,0.222994900324525,0.638791553883207,11.2833922095573,6.60197684263204,1.02199960012551,2008-09-28,0.130388039964822,2.30101823487672,1.24948799072354,"H1","H3",12,56,84,80.5,80.5,12.4484,8,46.1031219817301,8.2195127327243,18.5414021799639,2008-12-14,2008-11-16,2009-02-08,22.4,69.6,46.3354480570975,55,"2008",1.30551654672858,1.10681159745176,4.64634146341463,4.30743243243243,0.634,0.772,1.134,3.508,2.248,4.354,1.126,1.324,0.618,1.172,1.768,4.726,2.916,6.238,1.652,2.062,4.66818780072476,3.9995177469741,481,1676,104.673001656804,1561.3269983432,21052,2157,77,133,49,16.2826594879338,18.6666666666667,16.2826594879338,20.7564,24.5,66.5,0.468980591573143,"Conditional
Random Forest","Training","party RF",0.214022229263008
"2008-2009","Region 7",0.683002820836151,0.0624540582677828,0.777005099675475,0.0485271217694965,0.723841909292163,0.222994900324525,0.638791553883207,11.2833922095573,6.60197684263204,1.02199960012551,2008-09-28,0.130388039964822,2.30101823487672,1.24948799072354,"H1","H3",12,56,84,80.5,80.5,12.4484,8,46.1031219817301,8.2195127327243,18.5414021799639,2008-12-14,2008-11-16,2009-02-08,22.4,69.6,46.3354480570975,55,"2008",1.30551654672858,1.10681159745176,4.64634146341463,4.30743243243243,0.634,0.772,1.134,3.508,2.248,4.354,1.126,1.324,0.618,1.172,1.768,4.726,2.916,6.238,1.652,2.062,4.66818780072476,3.9995177469741,481,1676,104.673001656804,1561.3269983432,21052,2157,77,133,49,16.2826594879338,18.6666666666667,16.2826594879338,20.7564,24.5,66.5,0.38708811561063,"Lasso","Training","lasso",0.295914705225521
"2008-2009","Region 8",0.214646988199825,0.131772919199232,0.871400736090063,0.114827018786947,0.755491231916668,0.128599263909937,2.38451113450215,10.6465585530488,3.27180838628164,0.999813705073922,2008-09-28,0.410186041662534,1.3474444801034,0.555094362121571,"H1","H3",26,119,112,80.5,80.5,7,8,17.8552694131947,16.9583890539642,19.2175029981095,2008-11-09,2008-11-16,2009-03-08,22.4,69.6,46.3354480570975,55,"2008",1.30551654672858,1.10681159745176,4.64634146341463,4.30743243243243,0.634,0.772,1.134,3.508,2.248,4.354,1.126,1.324,0.618,1.172,1.768,4.726,2.916,6.238,1.652,2.062,4.66818780072476,3.9995177469741,594,4025,530.38599977691,3489.61400022309,33374,4619,42,161,49,16.2826594879338,18.6666666666667,16.2826594879338,20.7564,24.5,66.5,0.452532365446145,"Conditional
Random Forest","Training","party RF",-0.23788537724632
"2008-2009","Region 8",0.214646988199825,0.131772919199232,0.871400736090063,0.114827018786947,0.755491231916668,0.128599263909937,2.38451113450215,10.6465585530488,3.27180838628164,0.999813705073922,2008-09-28,0.410186041662534,1.3474444801034,0.555094362121571,"H1","H3",26,119,112,80.5,80.5,7,8,17.8552694131947,16.9583890539642,19.2175029981095,2008-11-09,2008-11-16,2009-03-08,22.4,69.6,46.3354480570975,55,"2008",1.30551654672858,1.10681159745176,4.64634146341463,4.30743243243243,0.634,0.772,1.134,3.508,2.248,4.354,1.126,1.324,0.618,1.172,1.768,4.726,2.916,6.238,1.652,2.062,4.66818780072476,3.9995177469741,594,4025,530.38599977691,3489.61400022309,33374,4619,42,161,49,16.2826594879338,18.6666666666667,16.2826594879338,20.7564,24.5,66.5,0.38708811561063,"Lasso","Training","lasso",-0.172441127410805
"2008-2009","Region 9",0.342815941845304,0.253859124516089,0.908613107368873,0.230659727960505,0.677846117797298,0.0913868926311273,3.53080614754096,15.964546671022,4.97595905573168,1.09935469521909,2008-09-28,0.437599267870942,1.62001464320246,0.673437392691478,"H1","H3",22,77,77,80.5,80.5,12.2211,12,14.176244907504,15.6744305376792,12.5648633667079,2008-12-14,2008-12-14,2009-03-01,22.4,69.6,46.3354480570975,55,"2008",1.30551654672858,1.10681159745176,4.64634146341463,4.30743243243243,0.634,0.772,1.134,3.508,2.248,4.354,1.126,1.324,0.618,1.172,1.768,4.726,2.916,6.238,1.652,2.062,4.66818780072476,3.9995177469741,852,8471,2150.44064377579,6319.55935622421,39151,9323,77,154,77,16.2826594879338,18.6666666666667,16.2826594879338,20.7564,24.5,66.5,0.45586722043056,"Conditional
Random Forest","Training","party RF",-0.113051278585255
"2008-2009","Region 9",0.342815941845304,0.253859124516089,0.908613107368873,0.230659727960505,0.677846117797298,0.0913868926311273,3.53080614754096,15.964546671022,4.97595905573168,1.09935469521909,2008-09-28,0.437599267870942,1.62001464320246,0.673437392691478,"H1","H3",22,77,77,80.5,80.5,12.2211,12,14.176244907504,15.6744305376792,12.5648633667079,2008-12-14,2008-12-14,2009-03-01,22.4,69.6,46.3354480570975,55,"2008",1.30551654672858,1.10681159745176,4.64634146341463,4.30743243243243,0.634,0.772,1.134,3.508,2.248,4.354,1.126,1.324,0.618,1.172,1.768,4.726,2.916,6.238,1.652,2.062,4.66818780072476,3.9995177469741,852,8471,2150.44064377579,6319.55935622421,39151,9323,77,154,77,16.2826594879338,18.6666666666667,16.2826594879338,20.7564,24.5,66.5,0.38708811561063,"Lasso","Training","lasso",-0.0442721737653253
"2010-2011","Region 1",0.231981408569087,0.65141684248062,0.855535279805353,0.557310090601577,0.297921052950735,0.144464720194647,31.9000488693674,16.4235030341131,7.67605665755382,1.41615154263987,2010-10-03,3.33608516165236,2.5308312193937,0.868033030718687,"co-circ","H1",29,98,98,66.5,66.5,6.80165,7,0.0726740624293668,87.3504507723643,0.175448439724306,2010-11-14,2010-11-14,2011-02-20,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,475,2813,1832.43557789798,979.564422102017,11129,3288,42,140,42,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.235442889950031,"Conditional
Random Forest","Training","party RF",-0.00346148138094382
"2010-2011","Region 1",0.231981408569087,0.65141684248062,0.855535279805353,0.557310090601577,0.297921052950735,0.144464720194647,31.9000488693674,16.4235030341131,7.67605665755382,1.41615154263987,2010-10-03,3.33608516165236,2.5308312193937,0.868033030718687,"co-circ","H1",29,98,98,66.5,66.5,6.80165,7,0.0726740624293668,87.3504507723643,0.175448439724306,2010-11-14,2010-11-14,2011-02-20,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,475,2813,1832.43557789798,979.564422102017,11129,3288,42,140,42,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.318244095564905,"Lasso","Training","lasso",-0.0862626869958182
"2010-2011","Region 10",0.257952736041347,0.571927117551995,0.935924818453652,0.535280783663572,0.399362531159153,0.0640751815463477,26.3287279345929,19.718747009505,2.9646393530287,1.10347971994633,2010-10-03,3.05419195488146,2.52180987100304,0.32896433819188,"co-circ","H1",30,63,42,66.5,66.5,11.3894,14,0.0342684010217615,91.4657660717342,0.147132177183864,2010-12-12,2011-01-02,2011-02-13,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,150,2191,1253.09231455642,934.907685443578,15855,2341,70,133,91,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.234434456893996,"Conditional
Random Forest","Training","party RF",0.0235182791473507
"2010-2011","Region 10",0.257952736041347,0.571927117551995,0.935924818453652,0.535280783663572,0.399362531159153,0.0640751815463477,26.3287279345929,19.718747009505,2.9646393530287,1.10347971994633,2010-10-03,3.05419195488146,2.52180987100304,0.32896433819188,"co-circ","H1",30,63,42,66.5,66.5,11.3894,14,0.0342684010217615,91.4657660717342,0.147132177183864,2010-12-12,2011-01-02,2011-02-13,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,150,2191,1253.09231455642,934.907685443578,15855,2341,70,133,91,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.318244095564905,"Lasso","Training","lasso",-0.0602913595235584
"2010-2011","Region 2",0.200458385837477,0.790930612051409,0.817872533454298,0.646880423465044,0.17031168358871,0.182127466545702,36.5807070550482,9.32735874140526,10.123465299842,1.35941795510919,2010-10-03,4.0053185793033,1.26944638135231,1.01537802606491,"co-circ","H1",30,49,35,66.5,66.5,5.73162,8,0.124790472386436,41.5826280294253,0.118822833035213,2010-11-07,2010-11-21,2010-12-26,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,803,3606,2852.09578705738,750.90421294262,27152,4409,35,84,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.242440596300302,"Conditional
Random Forest","Training","party RF",-0.0419822104628249
"2010-2011","Region 2",0.200458385837477,0.790930612051409,0.817872533454298,0.646880423465044,0.17031168358871,0.182127466545702,36.5807070550482,9.32735874140526,10.123465299842,1.35941795510919,2010-10-03,4.0053185793033,1.26944638135231,1.01537802606491,"co-circ","H1",30,49,35,66.5,66.5,5.73162,8,0.124790472386436,41.5826280294253,0.118822833035213,2010-11-07,2010-11-21,2010-12-26,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,803,3606,2852.09578705738,750.90421294262,27152,4409,35,84,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.318244095564905,"Lasso","Training","lasso",-0.117785709727428
"2010-2011","Region 3",0.269716351094077,0.539188422207656,0.860495436766623,0.463969176867083,0.396135125610101,0.139504563233377,31.0970636078803,26.1155770747689,8.64281908467344,1.300313990894,2010-10-03,3.45514389791181,4.37476637047751,1.0230673320798,"co-circ","H1",33,63,63,66.5,66.5,7.66355,8,0.113022824137628,96.8112159935622,0.13859818577107,2010-11-21,2010-11-21,2011-01-23,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,1070,6600,3558.64358657053,3038.35641342947,34023,7670,49,112,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.23517521202786,"Conditional
Random Forest","Training","party RF",0.0345411390662168
"2010-2011","Region 3",0.269716351094077,0.539188422207656,0.860495436766623,0.463969176867083,0.396135125610101,0.139504563233377,31.0970636078803,26.1155770747689,8.64281908467344,1.300313990894,2010-10-03,3.45514389791181,4.37476637047751,1.0230673320798,"co-circ","H1",33,63,63,66.5,66.5,7.66355,8,0.113022824137628,96.8112159935622,0.13859818577107,2010-11-21,2010-11-21,2011-01-23,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,1070,6600,3558.64358657053,3038.35641342947,34023,7670,49,112,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.318244095564905,"Lasso","Training","lasso",-0.0485277444708282
"2010-2011","Region 4",0.140106223112817,0.526632908666607,0.610024330900243,0.321258887739396,0.288084177954034,0.389975669099757,20.5214737311688,19.8638446132952,24.8454271895897,1.08427920908623,2010-10-03,1.94338755450577,2.77943105689108,3.10602725187334,"co-circ","H1",33,91,77,66.5,66.5,6.04547,8,0.0466892522113332,48.9149002002962,0.42076942885925,2010-11-07,2010-11-21,2011-02-06,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,4007,6268,3300.9350715223,2960.0649284777,57933,10275,35,126,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.245236990335376,"Conditional
Random Forest","Training","party RF",-0.105130767222559
"2010-2011","Region 4",0.140106223112817,0.526632908666607,0.610024330900243,0.321258887739396,0.288084177954034,0.389975669099757,20.5214737311688,19.8638446132952,24.8454271895897,1.08427920908623,2010-10-03,1.94338755450577,2.77943105689108,3.10602725187334,"co-circ","H1",33,91,77,66.5,66.5,6.04547,8,0.0466892522113332,48.9149002002962,0.42076942885925,2010-11-07,2010-11-21,2011-02-06,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,4007,6268,3300.9350715223,2960.0649284777,57933,10275,35,126,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.318244095564905,"Lasso","Training","lasso",-0.178137872452088
"2010-2011","Region 5",0.163689764321541,0.580691927687591,0.749012197216973,0.434945336663442,0.313723276976826,0.250987802783027,24.2060761310037,18.731872588009,14.2104070560512,1.15404401685943,2010-10-03,2.08601926889637,2.69044627936104,1.54987700505511,"co-circ","H1",33,70,70,66.5,66.5,7.70403,8,0.12533207254374,82.3584347543466,0.314567009005408,2010-11-21,2010-11-21,2011-01-30,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,1461,4360,2531.8168047179,1826.1831952821,26593,5821,49,119,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.24210986355716,"Conditional
Random Forest","Training","party RF",-0.0784200992356185
"2010-2011","Region 5",0.163689764321541,0.580691927687591,0.749012197216973,0.434945336663442,0.313723276976826,0.250987802783027,24.2060761310037,18.731872588009,14.2104070560512,1.15404401685943,2010-10-03,2.08601926889637,2.69044627936104,1.54987700505511,"co-circ","H1",33,70,70,66.5,66.5,7.70403,8,0.12533207254374,82.3584347543466,0.314567009005408,2010-11-21,2010-11-21,2011-01-30,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,1461,4360,2531.8168047179,1826.1831952821,26593,5821,49,119,49,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.318244095564905,"Lasso","Training","lasso",-0.154554331243364
"2010-2011","Region 6",0.384235201158441,0.785401485788412,0.647255861891265,0.508355715614659,0.135936992450273,0.352744138108735,26.0843700096635,7.23052147381098,18.2654989509058,1.25915316027941,2010-10-03,3.45941284386284,1.20132484811025,2.3233904443012,"co-circ","H1",28,63,63,66.5,66.5,9.26167,9,0,35.7355821934599,0.422917910184951,2010-11-28,2010-11-28,2011-01-30,26.3,70.4,55,50.8881268752679,"2010",2.13162039426931,1.90384459553907,3.80851063829787,7.8319783197832,0.25,0.204,0.88,6.266,2.442,4.184,0.55,1.778,1.616,0.3,1.276,7.478,2.162,5.29,0.522,2.54,6.85745644783141,5.22279407837356,2738,5024,3945.85706460098,1055.14293539902,43929,7762,56,119,56,12.4347184215093,20.6733860044476,12.4347184215093,5.1891,14,45.5,0.254157975686989,"Conditional
Random Forest","Training","party RF",0.130077225471452
